,METHOD_TO_METHOD,FIELD,INHERITANCE,IMPORT,STRUCTUAL_DEBT_INDEX,
com.netflix.hollow.api.client.HollowAPIFactory,0,0,0,3,0,
com.netflix.hollow.core.util.HollowObjectHashCodeFinder,0,0,0,0,0,
com.netflix.hollow.api.codegen.ArgumentParser,0,0,0,0,0,
com.netflix.hollow.core.util.BitSetIterator,0,0,0,0,0,
com.netflix.hollow.core.write.HollowWriteStateEnginePrimaryKeyHasher,45,1,0,13,0,
com.netflix.hollow.core.memory.encoding.BlobByteBuffer,0,0,0,0,0,
com.netflix.hollow.core.write.copy.HollowObjectCopier,30,0,1,8,0,
com.netflix.hollow.api.objects.delegate.HollowMapDelegate,0,0,0,0,0,
com.netflix.hollow.core.read.iterator.HollowListOrdinalIterator,2,1,1,2,0,
com.netflix.hollow.core.write.HollowListWriteRecord,7,1,1,3,0,
com.netflix.hollow.api.consumer.index.AbstractHollowUniqueKeyIndex,12,2,1,7,0,
com.netflix.hollow.core.read.filter.HollowFilterConfig,10,0,1,9,0,
com.netflix.hollow.core.type.HString,4,0,1,3,0,
com.netflix.hollow.tools.diff.specific.HollowSpecificDiff,38,3,0,9,0,
com.netflix.hollow.tools.checksum.HollowChecksum,14,2,0,7,0,
com.netflix.hollow.tools.split.HollowSplitterOrdinalRemapper,5,1,1,5,0,
com.netflix.hollow.api.objects.HollowMap,18,2,1,6,0,
com.netflix.hollow.core.memory.SegmentedByteArray,6,1,1,5,0,
com.netflix.hollow.api.producer.listener.DataModelInitializationListener,0,0,0,0,0,
com.netflix.hollow.tools.history.HollowHistoricalStateDataAccess,21,6,1,17,0,
com.netflix.hollow.core.memory.ByteDataArray,5,1,0,2,0,
com.netflix.hollow.core.HollowDataset,0,0,0,0,0,
com.netflix.hollow.core.memory.pool.WastefulRecycler,0,0,1,1,0,
com.netflix.hollow.core.type.delegate.LongDelegate,0,0,0,0,0,
com.netflix.hollow.Hollow,0,0,0,0,0,
com.netflix.hollow.core.write.HollowListTypeWriteState,83,4,1,11,0,
com.netflix.hollow.core.write.objectmapper.HollowObjectMapper,6,1,0,6,0,
com.netflix.hollow.core.type.LongHollowFactory,1,0,1,4,0,
com.netflix.hollow.core.write.copy.HollowMapCopier,13,0,1,9,0,
com.netflix.hollow.core.index.GrowingSegmentedLongArray,3,1,0,1,0,
com.netflix.hollow.api.codegen.api.HollowTypeAPIGenerator,2,0,1,3,0,
com.netflix.hollow.core.read.engine.SetMapKeyHasher,9,0,0,5,0,
com.netflix.hollow.api.client.StackTraceRecorder,0,0,0,0,0,
com.netflix.hollow.api.producer.ProducerOptionalBlobPartConfig,0,0,0,0,0,
