,METHOD_TO_METHOD,FIELD,INHERITANCE,IMPORT,STRUCTUAL_DEBT_INDEX,
com.netflix.hollow.tools.filter.FilteredHollowBlobWriter,130,4,0,24,0,
com.netflix.hollow.core.util.DefaultHashCodeFinder,1,0,1,2,0,
com.netflix.hollow.tools.split.HollowSplitterCopyDirector,0,0,0,0,0,
com.netflix.hollow.api.objects.generic.GenericHollowList,7,0,1,9,0,
com.netflix.hollow.core.schema.HollowSchemaSorter,23,0,0,15,0,
com.netflix.hollow.core.type.delegate.StringDelegateLookupImpl,5,1,2,4,0,
com.netflix.hollow.tools.history.DiffEqualityMappingOrdinalRemapper,4,1,1,4,0,
com.netflix.hollow.core.index.HollowPrimaryKeyIndex,83,5,1,17,0,
com.netflix.hollow.tools.history.IntMapOrdinalRemapper,2,0,1,2,0,
com.netflix.hollow.tools.combine.HollowCombinerIncludePrimaryKeysCopyDirector,2,1,1,2,0,
com.netflix.hollow.tools.util.SearchUtils,16,0,0,13,0,
com.netflix.hollow.tools.patch.delta.PartialOrdinalRemapper,1,0,1,2,0,
com.netflix.hollow.core.read.engine.SnapshotPopulatedOrdinalsReader,5,0,0,2,0,
com.netflix.hollow.core.write.copy.HollowRecordCopier,2,3,0,11,0,
com.netflix.hollow.api.producer.enforcer.SingleProducerEnforcer,0,0,0,0,0,
com.netflix.hollow.api.objects.provider.HollowObjectCacheProvider,8,3,2,9,0,
com.netflix.hollow.tools.stringifier.HollowRecordJsonStringifier,51,0,1,19,0,
com.netflix.hollow.core.memory.EncodedByteBuffer,10,1,1,3,0,
com.netflix.hollow.core.type.delegate.LongDelegateLookupImpl,5,1,2,4,0,
com.netflix.hollow.api.producer.CloseableWriteState,2,2,1,4,0,
com.netflix.hollow.core.type.delegate.DoubleDelegate,0,0,0,0,0,
com.netflix.hollow.api.consumer.index.HashIndexSelect,24,5,2,14,0,
com.netflix.hollow.api.producer.Status,1,2,0,4,0,
com.netflix.hollow.tools.diff.exact.CombinedMatchPairResultsIterator,7,2,0,2,0,
com.netflix.hollow.core.read.engine.map.PotentialMatchHollowMapEntryOrdinalIteratorImpl,4,1,1,4,0,
com.netflix.hollow.core.write.HollowSetWriteRecord,13,1,1,6,0,
com.netflix.hollow.api.producer.HollowIncrementalProducer,15,8,0,18,0,
com.netflix.hollow.core.type.delegate.FloatDelegateCachedImpl,4,1,3,5,0,
com.netflix.hollow.api.producer.metrics.CycleMetrics,0,0,0,0,0,
com.netflix.hollow.api.producer.fs.HollowFilesystemAnnouncer,0,0,1,2,0,
com.netflix.hollow.api.codegen.delegate.HollowObjectDelegateCachedImplGenerator,81,0,1,12,0,
com.netflix.hollow.core.util.SimultaneousExecutor,1,0,0,1,0,
com.netflix.hollow.api.objects.generic.GenericHollowIterable,0,0,0,1,0,
com.netflix.hollow.core.write.HollowHashableWriteRecord,0,0,0,0,0,
com.netflix.hollow.core.read.dataaccess.HollowDataAccess,0,0,0,0,0,
com.netflix.hollow.api.custom.HollowMapTypeAPI,8,0,1,2,0,
com.netflix.hollow.core.type.accessor.StringDataAccessor,4,1,1,5,0,
com.netflix.hollow.core.schema.HollowMapSchema,8,3,1,4,0,
com.netflix.hollow.core.memory.VariableLengthData,0,0,0,0,0,
com.netflix.hollow.tools.history.keyindex.HollowHistoricalStateKeyOrdinalMapping,2,0,0,3,0,
com.netflix.hollow.api.consumer.HollowConsumerAPI,0,0,0,0,0,
com.netflix.hollow.core.type.delegate.IntegerDelegateCachedImpl,4,1,3,5,0,
com.netflix.hollow.api.producer.CloseableIncrementalWriteState,2,1,1,7,0,
com.netflix.hollow.core.schema.HollowObjectSchema,10,2,1,7,0,
com.netflix.hollow.api.codegen.api.TypeAPIListJavaGenerator,7,1,1,6,0,
com.netflix.hollow.core.read.engine.HollowCollectionTypeReadState,0,0,2,2,0,
com.netflix.hollow.api.common.EventListener,0,0,0,0,0,
com.netflix.hollow.core.read.dataaccess.proxy.HollowTypeProxyDataAccess,5,2,1,1,0,
com.netflix.hollow.core.read.filter.TypeActions,0,0,0,3,0,
com.netflix.hollow.core.type.FloatTypeAPI,5,1,1,5,0,
com.netflix.hollow.tools.diff.exact.DiffEqualityMapping,9,2,0,13,0,
com.netflix.hollow.core.write.objectmapper.HollowTypeMapper,6,0,0,4,0,
com.netflix.hollow.core.HollowConstants,0,0,0,0,0,
com.netflix.hollow.core.read.missing.MissingDataHandler,0,0,0,0,0,
com.netflix.hollow.tools.history.HollowHistoricalTypeDataAccess,13,4,1,8,0,
com.netflix.hollow.core.index.traversal.HollowIndexerMapTraversalNode,6,2,1,3,0,
com.netflix.hollow.api.objects.delegate.HollowObjectAbstractDelegate,42,0,1,5,0,
com.netflix.hollow.core.index.FieldPaths,32,2,0,13,0,
com.netflix.hollow.core.memory.encoding.EncodedLongBuffer,15,1,1,4,0,
com.netflix.hollow.tools.diff.count.HollowDiffCollectionCountingNode,38,6,1,11,0,
com.netflix.hollow.core.read.engine.object.HollowObjectTypeDataElements,39,6,0,11,0,
com.netflix.hollow.api.error.SchemaNotFoundException,0,0,1,1,0,
com.netflix.hollow.core.type.delegate.FloatDelegate,0,0,0,0,0,
com.netflix.hollow.api.sampling.HollowSamplingDirector,0,0,0,0,0,
com.netflix.hollow.core.write.HollowSetTypeWriteState,110,4,1,13,0,
com.netflix.hollow.api.producer.validation.ValidationResult,1,0,0,1,0,
com.netflix.hollow.tools.combine.HollowCombinerOrdinalRemapper,5,1,1,5,0,
com.netflix.hollow.core.type.FloatHollowFactory,1,0,1,4,0,
com.netflix.hollow.core.type.delegate.BooleanDelegateLookupImpl,5,1,2,4,0,
com.netflix.hollow.core.schema.HollowSetSchema,8,2,1,5,0,
com.netflix.hollow.api.client.HollowUpdateListener,0,0,0,0,0,
com.netflix.hollow.api.codegen.HollowPOJOClassGenerator,63,2,1,12,0,
com.netflix.hollow.core.util.Threads,0,0,0,0,0,
com.netflix.hollow.api.custom.HollowListTypeAPI,3,0,1,2,0,
com.netflix.hollow.core.index.traversal.HollowIndexerObjectFieldTraversalNode,0,0,1,2,0,
com.netflix.hollow.core.read.dataaccess.disabled.HollowSetDisabledDataAccess,0,0,1,1,0,
com.netflix.hollow.api.objects.provider.HollowObjectProvider,0,0,0,0,0,
com.netflix.hollow.core.type.accessor.IntegerDataAccessor,4,1,1,5,0,
com.netflix.hollow.tools.diff.HollowDiff,17,3,0,8,0,
com.netflix.hollow.tools.history.HistoricalPrimaryKeyMatcher,21,1,0,7,0,
com.netflix.hollow.core.type.BooleanTypeAPI,4,1,1,4,0,
com.netflix.hollow.core.memory.FixedLengthData,0,0,0,0,0,
com.netflix.hollow.core.write.HollowObjectWriteRecord,45,2,1,7,0,
com.netflix.hollow.api.custom.HollowObjectTypeAPI,11,1,1,9,0,
com.netflix.hollow.tools.patch.record.TypeMatchSpec,0,0,0,0,0,
com.netflix.hollow.core.write.objectmapper.flatrecords.FlatRecordDumper,73,2,0,22,0,
com.netflix.hollow.api.objects.provider.HollowObjectFactoryProvider,1,3,1,2,0,
com.netflix.hollow.core.write.objectmapper.HollowMapTypeMapper,18,5,1,10,0,
com.netflix.hollow.tools.history.HollowHistoricalObjectDataAccess,57,0,2,8,0,
com.netflix.hollow.core.type.delegate.BooleanDelegateCachedImpl,4,1,3,5,0,
com.netflix.hollow.api.sampling.EnabledSamplingDirector,0,0,1,1,0,
com.netflix.hollow.core.type.IntegerHollowFactory,1,0,1,4,0,
com.netflix.hollow.api.codegen.delegate.HollowObjectDelegateGenerator,0,2,1,1,0,
com.netflix.hollow.api.producer.validation.ValidationStatusException,1,1,0,1,0,
com.netflix.hollow.api.metrics.HollowMetricsCollector,0,1,0,0,0,
com.netflix.hollow.core.index.HollowPrefixIndex,28,5,2,13,0,
com.netflix.hollow.api.objects.HollowRecord,0,0,0,0,0,
com.netflix.hollow.core.read.engine.object.HollowObjectDeltaApplicator,28,5,0,8,0,
com.netflix.hollow.core.type.accessor.FloatDataAccessor,4,1,1,5,0,
com.netflix.hollow.tools.history.keyindex.HollowHistoryTypeKeyIndex,130,10,0,25,0,
com.netflix.hollow.api.sampling.HollowListSampler,5,1,1,5,0,
com.netflix.hollow.api.consumer.index.UniqueKeyIndex,32,6,2,21,0,
com.netflix.hollow.api.objects.HollowSet,9,2,1,4,0,
com.netflix.hollow.api.producer.validation.ValidationStatusListener,0,0,0,0,0,
com.netflix.hollow.api.objects.generic.GenericHollowRecordHelper,6,0,0,25,0,
com.netflix.hollow.api.producer.listener.IntegrityCheckListener,0,0,0,0,0,
com.netflix.hollow.tools.history.keyindex.HollowHistoricalStateTypeKeyOrdinalMapping,28,3,0,5,0,
com.netflix.hollow.tools.history.HollowHistoricalState,0,2,0,0,0,
com.netflix.hollow.tools.diff.exact.mapper.DiffEqualityMapMapper,47,6,2,16,0,
com.netflix.hollow.api.objects.delegate.HollowMapLookupDelegate,34,3,1,9,0,
com.netflix.hollow.api.client.HollowBlobRetriever,0,0,0,0,0,
com.netflix.hollow.tools.patch.delta.HollowStateDeltaPatcher,151,20,0,48,0,
com.netflix.hollow.core.read.iterator.HollowMapEntryOrdinalIterator,0,0,0,0,0,
com.netflix.hollow.api.producer.HollowProducer,28,5,2,17,0,
com.netflix.hollow.core.write.FieldStatistics,5,1,0,2,0,
com.netflix.hollow.api.objects.generic.GenericHollowMap,12,2,1,9,0,
com.netflix.hollow.core.write.objectmapper.HollowObjectTypeMapper,43,4,1,13,0,
com.netflix.hollow.core.read.HollowBlobInput,5,1,0,4,0,
com.netflix.hollow.core.type.delegate.IntegerDelegateLookupImpl,5,1,2,4,0,
com.netflix.hollow.api.producer.fs.HollowFilesystemBlobStorageCleaner,0,0,1,4,0,
com.netflix.hollow.core.memory.SegmentedLongArray,9,0,0,4,0,
com.netflix.hollow.core.util.Versions,0,0,0,1,0,
com.netflix.hollow.core.read.dataaccess.proxy.HollowMapProxyDataAccess,8,0,2,4,0,
com.netflix.hollow.api.producer.fs.HollowFilesystemPublisher,16,0,1,8,0,
com.netflix.hollow.api.consumer.fs.HollowFilesystemAnnouncementWatcher,2,0,1,5,0,
com.netflix.hollow.core.read.filter.UnresolvedTypeFilter,1,0,1,4,0,
com.netflix.hollow.api.producer.listener.CycleListener,0,0,0,0,0,
com.netflix.hollow.api.objects.delegate.HollowObjectGenericDelegate,1,1,1,2,0,
com.netflix.hollow.api.objects.delegate.HollowListDelegate,0,0,0,0,0,
com.netflix.hollow.tools.diff.HollowDiffMatcher,27,7,0,7,0,
