,METHOD_TO_METHOD,IMPORT,INHERITANCE,FIELD,STRUCTUAL_DEBT_INDEX,
com.google.common.util.concurrent.package-info,0,0,0,0,0,
com.google.common.base.package-info,0,0,0,0,0,
com.google.common.util.concurrent.ListeningExecutorService,0,0,0,0,0,
com.google.common.graph.UndirectedMultiNetworkConnections,10,8,2,0,0,
com.google.common.collect.FilteredMultimapValues,26,8,0,1,0,
com.google.common.io.ByteProcessor,0,0,0,0,0,
com.google.common.graph.ForwardingValueGraph,18,2,1,0,0,
com.google.common.collect.TreeRangeSet,197,60,11,14,0,
com.google.common.util.concurrent.InterruptibleTask,3,1,0,0,0,
com.google.common.util.concurrent.AbstractTransformFuture,14,10,1,1,0,
com.google.common.util.concurrent.AggregateFuture,19,7,1,3,0,
com.google.common.io.Closer,10,3,0,0,0,
com.google.common.collect.UsingToStringOrdering,0,1,1,0,0,
com.google.common.html.package-info,0,0,0,0,0,
com.google.common.base.Predicates,38,26,9,4,0,
com.google.common.collect.EmptyContiguousSet,6,5,1,1,0,
com.google.common.graph.StandardValueGraph,25,13,2,3,0,
com.google.common.primitives.IntsMethodsForWeb,0,0,0,0,0,
com.google.common.collect.JdkBackedImmutableSet,2,2,1,1,0,
com.google.common.net.MediaType,84,23,2,7,0,
com.google.common.util.concurrent.Uninterruptibles,11,3,0,0,0,
com.google.common.collect.ForwardingIterator,0,1,1,0,0,
com.google.common.hash.HashCode,9,4,0,0,0,
com.google.common.primitives.package-info,0,0,0,0,0,
com.google.common.util.concurrent.SequentialExecutor,2,1,0,0,0,
com.google.common.reflect.package-info,0,0,0,0,0,
com.google.common.collect.UnmodifiableSortedMultiset,14,6,2,0,0,
com.google.common.math.LinearTransformation,13,4,0,0,0,
com.google.common.collect.MapDifference,0,0,0,0,0,
com.google.common.collect.ConcurrentHashMultiset,36,31,5,2,0,
com.google.common.collect.ForwardingQueue,0,1,1,0,0,
com.google.common.graph.package-info,0,0,0,0,0,
com.google.common.collect.FilteredEntryMultimap,40,47,11,3,0,
com.google.common.primitives.FloatsMethodsForWeb,0,0,0,0,0,
com.google.common.html.HtmlEscapers,7,2,0,1,0,
com.google.common.util.concurrent.TimeoutFuture,6,6,1,1,0,
com.google.common.collect.ForwardingMultiset,23,9,3,0,0,
com.google.common.util.concurrent.ForwardingFluentFuture,7,3,1,1,0,
com.google.common.escape.package-info,0,0,0,0,0,
com.google.common.base.Platform,8,8,1,1,0,
com.google.common.collect.TableCollectors,31,11,1,1,0,
com.google.common.io.CharStreams,21,6,0,0,0,
com.google.common.collect.TreeMultimap,33,4,1,0,0,
com.google.common.primitives.ShortsMethodsForWeb,0,0,0,0,0,
com.google.common.base.CommonMatcher,0,0,0,0,0,
com.google.common.collect.ImmutableMultisetGwtSerializationDependencies,0,1,1,0,0,
com.google.common.reflect.AbstractInvocationHandler,0,0,0,0,0,
com.google.common.base.Splitter,29,13,1,5,0,
com.google.common.collect.ForwardingSortedSetMultimap,4,2,2,0,0,
com.google.common.collect.ArrayListMultimapGwtSerializationDependencies,0,1,1,0,0,
com.google.common.graph.NetworkBuilder,13,9,1,2,0,
com.google.common.collect.ComparatorOrdering,1,2,1,0,0,
com.google.common.collect.AbstractIndexedListIterator,1,2,1,0,0,
com.google.common.collect.CollectPreconditions,1,1,0,0,0,
com.google.common.hash.Funnels,8,7,2,2,0,
com.google.common.collect.Sets,131,64,13,7,0,
com.google.common.reflect.TypeCapture,1,1,0,0,0,
com.google.common.collect.Queues,10,3,0,0,0,
com.google.common.hash.AbstractHasher,3,4,1,0,0,
com.google.common.eventbus.AsyncEventBus,3,3,1,0,0,
com.google.common.graph.AbstractUndirectedNetworkConnections,2,2,1,0,0,
com.google.common.reflect.TypeResolver,31,21,2,1,0,
com.google.common.reflect.TypeVisitor,1,1,0,0,0,
com.google.common.collect.ImmutableClassToInstanceMap,10,7,2,2,0,
com.google.common.primitives.Booleans,13,2,0,0,0,
com.google.common.hash.SipHashFunction,3,4,2,1,0,
com.google.common.collect.ForwardingObject,0,0,0,0,0,
com.google.common.collect.AbstractTable,28,13,2,0,0,
com.google.common.util.concurrent.ServiceManager,116,61,9,11,0,
com.google.common.collect.Multimap,0,0,0,0,0,
com.google.common.io.CharSink,14,3,0,0,0,
com.google.common.reflect.TypeToInstanceMap,0,0,0,0,0,
com.google.common.collect.ImmutableBiMap,20,16,4,0,0,
com.google.common.collect.ForwardingConcurrentMap,0,1,1,0,0,
com.google.common.hash.AbstractHashFunction,16,3,1,0,0,
com.google.common.base.PairwiseEquivalence,3,2,1,1,0,
com.google.common.base.Suppliers,21,19,6,6,0,
com.google.common.graph.ImmutableValueGraph,34,18,2,2,0,
com.google.common.base.VerifyException,0,0,0,0,0,
com.google.common.math.DoubleMath,23,4,0,0,0,
com.google.common.reflect.Parameter,13,5,0,3,0,
com.google.common.eventbus.DeadEvent,6,3,0,0,0,
com.google.common.base.Ascii,2,1,0,0,0,
com.google.common.primitives.SignedBytes,8,2,0,0,0,
com.google.common.graph.AbstractDirectedNetworkConnections,17,10,1,0,0,
com.google.thirdparty.publicsuffix.TrieParser,6,4,0,1,0,
com.google.common.collect.CollectSpliterators,22,2,0,0,0,
com.google.common.base.AbstractIterator,2,2,0,0,0,
com.google.common.collect.ForwardingImmutableList,0,0,0,0,0,
com.google.common.collect.SortedIterables,4,3,0,0,0,
com.google.common.util.concurrent.FuturesGetChecked,6,5,1,1,0,
com.google.common.util.concurrent.ListenableScheduledFuture,0,0,0,0,0,
com.google.common.collect.JdkBackedImmutableMultiset,8,11,1,2,0,
com.google.common.collect.RegularImmutableSortedSet,28,7,1,1,0,
com.google.common.escape.ArrayBasedEscaperMap,1,1,0,0,0,
com.google.common.collect.Table,0,0,0,0,0,
com.google.common.graph.DirectedGraphConnections,43,27,10,0,0,
com.google.common.util.concurrent.FluentFuture,8,9,2,0,0,
