,METHOD_TO_METHOD,INHERITANCE,IMPORT,FIELD,STRUCTUAL_DEBT_INDEX,
com.google.common.io.Files,59,2,11,2,0,
com.google.common.collect.ForwardingCollection,9,1,1,0,0,
com.google.common.collect.ImmutableTable,44,1,1,0,0,
com.google.common.graph.SuccessorsFunction,0,0,0,0,0,
com.google.common.graph.AbstractNetwork,61,1,7,0,0,
com.google.common.cache.LoadingCache,0,0,0,0,0,
com.google.common.base.FunctionalEquivalence,9,1,0,2,0,
com.google.thirdparty.publicsuffix.PublicSuffixPatterns,3,0,1,3,0,
com.google.common.io.CountingInputStream,1,0,0,0,0,
com.google.common.base.CommonPattern,2,0,0,0,0,
com.google.common.base.Present,5,1,0,0,0,
com.google.common.graph.ForwardingValueGraph,18,1,0,0,0,
com.google.common.util.concurrent.InterruptibleTask,1,0,0,0,0,
com.google.common.primitives.IntsMethodsForWeb,0,0,0,0,0,
com.google.common.collect.JdkBackedImmutableSet,0,1,0,1,0,
com.google.common.collect.ForwardingIterator,0,1,0,0,0,
com.google.common.math.LinearTransformation,13,0,0,0,0,
com.google.common.collect.FilteredEntryMultimap,49,3,2,2,0,
com.google.common.util.concurrent.ForwardingFluentFuture,1,1,0,1,0,
com.google.common.io.CharStreams,21,0,0,0,0,
com.google.common.base.CommonMatcher,0,0,0,0,0,
com.google.common.reflect.AbstractInvocationHandler,0,0,0,0,0,
com.google.common.collect.ForwardingSortedSetMultimap,4,2,0,0,0,
com.google.common.graph.NetworkBuilder,13,1,1,2,0,
com.google.common.collect.AbstractIndexedListIterator,1,1,0,0,0,
com.google.common.collect.CollectPreconditions,1,0,0,0,0,
com.google.common.reflect.TypeCapture,1,0,0,0,0,
com.google.common.eventbus.AsyncEventBus,3,1,0,0,0,
com.google.common.reflect.TypeVisitor,1,0,1,0,0,
com.google.common.base.PairwiseEquivalence,3,1,0,1,0,
com.google.common.base.Suppliers,22,6,0,6,0,
com.google.common.math.DoubleMath,23,0,1,0,0,
com.google.thirdparty.publicsuffix.TrieParser,6,0,3,1,0,
com.google.common.base.AbstractIterator,2,0,0,0,0,
com.google.common.collect.ForwardingImmutableList,0,0,0,0,0,
com.google.common.collect.Table,0,0,0,0,0,
com.google.common.graph.MultiEdgesConnecting,3,0,2,0,0,
com.google.common.collect.Platform,8,0,0,0,0,
com.google.common.collect.ForwardingImmutableCollection,0,0,0,0,0,
com.google.common.collect.ForwardingMapEntry,2,1,1,0,0,
com.google.common.collect.NullsFirstOrdering,4,1,0,1,0,
com.google.common.net.InternetDomainName,44,0,7,8,0,
com.google.common.collect.StandardRowSortedTable,6,2,1,0,0,
com.google.common.escape.UnicodeEscaper,3,1,0,0,0,
com.google.common.util.concurrent.AbstractCatchingFuture,2,0,1,1,0,
com.google.common.io.ReaderInputStream,12,0,1,0,0,
com.google.common.base.Absent,6,1,0,0,0,
com.google.common.base.Throwables,5,0,0,0,0,
com.google.common.cache.ForwardingCache,13,2,3,1,0,
com.google.common.collect.ImmutableMapValues,10,1,0,2,0,
com.google.common.util.concurrent.CycleDetectingLockFactory,20,0,7,1,0,
com.google.common.collect.AbstractNavigableMap,10,0,0,0,0,
com.google.common.util.concurrent.SmoothRateLimiter,1,1,1,0,0,
com.google.common.hash.LockFreeBitArray,11,0,3,1,0,
com.google.common.graph.GraphConstants,0,0,0,0,0,
com.google.common.cache.ReferenceEntry,0,0,0,0,0,
com.google.common.util.concurrent.ForwardingListeningExecutorService,3,2,0,0,0,
com.google.common.collect.ForwardingSet,4,1,0,0,0,
com.google.common.collect.Multiset,0,0,0,0,0,
com.google.common.graph.Graphs,148,3,6,3,0,
com.google.common.util.concurrent.CombinedFuture,2,2,1,1,0,
com.google.common.collect.ForwardingMultimap,20,2,0,0,0,
com.google.common.math.Stats,50,0,2,0,0,
com.google.common.graph.EdgesConnecting,5,0,3,0,0,
com.google.common.util.concurrent.GwtFluentFutureCatchingSpecialization,0,1,0,0,0,
com.google.common.base.Optional,5,0,0,0,0,
com.google.common.io.Closeables,0,0,0,0,0,
com.google.common.reflect.TypeParameter,2,1,0,0,0,
com.google.common.collect.Range,73,5,3,3,0,
com.google.common.util.concurrent.ForwardingListenableFuture,2,2,1,1,0,
com.google.common.collect.FilteredSetMultimap,0,0,0,0,0,
