,METHOD_TO_METHOD,INHERITANCE,IMPORT,FIELD,STRUCTUAL_DEBT_INDEX,
org.mockito.internal.stubbing.answers.ReturnsElementsOf,0,1,3,0,0,
org.mockito.stubbing.Answer2,0,0,0,0,0,
org.mockito.stubbing.Answer5,0,0,0,0,0,
org.mockito.internal.util.collections.HashCodeAndEqualsSafeSet,6,0,1,0,0,
org.mockito.listeners.StubbingLookupListener,0,0,0,0,0,
org.mockito.stubbing.Answer4,0,0,0,0,0,
org.mockito.internal.creation.instance.DefaultInstantiatorProvider,3,1,3,1,0,
org.mockito.internal.invocation.InterceptedInvocation,11,2,7,6,0,
org.mockito.stubbing.Answer6,0,0,0,0,0,
org.mockito.internal.listeners.AutoCleanableListener,0,0,0,0,0,
org.mockito.internal.stubbing.DoAnswerStyleStubbing,0,0,1,0,0,
org.mockito.internal.reporting.Discrepancy,2,0,0,0,0,
org.mockito.internal.util.reflection.GenericMaster,0,0,0,0,0,
org.mockito.internal.verification.Calls,6,2,7,0,0,
org.mockito.internal.junit.JUnitSessionStore,9,0,5,2,0,
org.mockito.ArgumentMatchers,9,0,12,0,0,
org.mockito.mock.MockCreationSettings,0,0,0,0,0,
org.mockito.internal.configuration.plugins.PluginFileReader,1,0,1,0,0,
org.mockito.internal.stubbing.InvocationContainerImpl,25,1,11,3,0,
org.mockito.internal.util.StringUtil,0,0,0,0,0,
org.mockito.internal.InOrderImpl,11,2,13,2,0,
org.mockito.exceptions.misusing.MissingMethodInvocationException,0,1,1,0,0,
org.mockito.exceptions.verification.TooLittleActualInvocations,0,1,1,0,0,
org.mockito.internal.stubbing.answers.InvocationInfo,10,1,6,1,0,
org.mockito.MockitoFramework,0,0,0,0,0,
org.mockito.internal.configuration.InjectingAnnotationEngine,7,2,5,2,0,
org.mockito.exceptions.verification.TooManyActualInvocations,0,1,1,0,0,
org.mockito.MockedStatic,0,0,0,0,0,
org.mockito.quality.MockitoHint,0,0,0,0,0,
org.mockito.internal.matchers.ArrayEquals,6,1,0,0,0,
org.mockito.internal.junit.UnusedStubbings,8,0,4,0,0,
org.mockito.internal.util.reflection.Fields,7,0,2,0,0,
org.mockito.listeners.StubbingLookupEvent,0,0,0,0,0,
org.mockito.exceptions.misusing.RedundantListenerException,0,1,2,0,0,
org.mockito.internal.matchers.Not,1,1,1,1,0,
org.mockito.internal.configuration.injection.ConstructorInjection,3,1,3,0,0,
org.mockito.internal.invocation.MockitoMethod,0,0,0,0,0,
org.mockito.internal.exceptions.stacktrace.ConditionalStackTraceFilter,2,0,2,2,0,
org.mockito.internal.invocation.mockref.MockWeakReference,0,1,0,0,0,
org.mockito.internal.util.Supplier,0,0,0,0,0,
org.mockito.internal.debugging.Localized,0,0,1,1,0,
org.mockito.internal.util.reflection.SuperTypesLastSorter,0,0,0,0,0,
org.mockito.plugins.PluginSwitch,0,0,0,0,0,
org.mockito.internal.verification.checkers.AtLeastDiscrepancy,1,1,1,0,0,
org.mockito.internal.verification.Times,13,2,7,0,0,
org.mockito.internal.util.collections.Iterables,0,0,0,0,0,
org.mockito.invocation.InvocationOnMock,0,0,0,0,0,
org.mockito.invocation.InvocationContainer,0,0,0,0,0,
org.mockito.internal.creation.util.MockitoMethodProxy,0,0,0,0,0,
org.mockito.internal.stubbing.StrictnessSelector,3,0,2,0,0,
org.mockito.internal.verification.InOrderWrapper,4,1,7,2,0,
org.mockito.internal.configuration.injection.scanner.MockScanner,5,0,2,0,0,
org.mockito.creation.instance.Instantiator,0,0,0,0,0,
org.mockito.configuration.IMockitoConfiguration,0,0,0,0,0,
org.mockito.MockitoDebugger,0,0,0,0,0,
org.mockito.stubbing.OngoingStubbing,0,0,0,0,0,
org.mockito.internal.matchers.LocalizedMatcher,0,0,3,2,0,
org.mockito.exceptions.misusing.InjectMocksException,0,1,1,0,0,
org.mockito.exceptions.misusing.PotentialStubbingProblem,0,1,2,0,0,
org.mockito.exceptions.misusing.CannotVerifyStubOnlyMock,0,1,1,0,0,
org.mockito.internal.util.reflection.LenientCopyTool,3,0,2,1,0,
org.mockito.internal.junit.StubbingHint,0,0,0,0,0,
org.mockito.internal.invocation.MatchersBinder,4,0,4,0,0,
org.mockito.internal.listeners.VerificationStartedNotifier,16,1,7,1,0,
org.mockito.internal.creation.DelegatingMethod,1,1,1,0,0,
org.mockito.verification.VerificationStrategy,0,0,0,0,0,
org.mockito.exceptions.verification.VerificationInOrderFailure,0,1,1,0,0,
org.mockito.internal.debugging.WarningsPrinterImpl,2,0,2,1,0,
org.mockito.exceptions.misusing.NullInsteadOfMockException,0,1,1,0,0,
org.mockito.internal.handler.NotifiedMethodInvocationReport,7,1,3,1,0,
org.mockito.internal.matchers.Matches,0,1,1,0,0,
org.mockito.internal.invocation.MatcherApplicationStrategy,7,0,5,1,0,
org.mockito.internal.util.DefaultMockingDetails,8,1,8,0,0,
org.mockito.exceptions.misusing.UnnecessaryStubbingException,0,1,3,0,0,
org.mockito.internal.stubbing.answers.ReturnsArgumentAt,15,2,4,0,0,
org.mockito.internal.verification.api.VerificationDataInOrderImpl,0,1,2,2,0,
org.mockito.listeners.MockitoListener,0,0,0,0,0,
org.mockito.AdditionalAnswers,12,0,17,0,0,
org.mockito.internal.runners.util.TestMethodsFinder,0,0,0,0,0,
org.mockito.internal.invocation.AbstractAwareMethod,0,0,0,0,0,
org.mockito.internal.invocation.InvocationComparator,2,0,1,0,0,
org.mockito.verification.After,1,2,2,0,0,
org.mockito.internal.verification.VerificationWrapperInOrderWrapper,8,1,5,1,0,
org.mockito.internal.stubbing.answers.AnswersWithDelay,2,2,3,1,0,
org.mockito.plugins.AnnotationEngine,0,0,0,0,0,
org.mockito.exceptions.misusing.UnfinishedMockingSessionException,0,1,3,0,0,
org.mockito.internal.util.reflection.GenericTypeExtractor,0,0,0,0,0,
org.mockito.Matchers,0,1,0,0,0,
org.mockito.exceptions.verification.NoInteractionsWanted,0,1,1,0,0,
org.mockito.internal.junit.UnusedStubbingsFinder,12,0,4,0,0,
org.mockito.internal.junit.util.JUnitFailureHacker,4,0,3,0,0,
org.mockito.mock.MockName,0,0,0,0,0,
org.mockito.internal.matchers.Same,1,1,2,0,0,
org.mockito.internal.verification.api.InOrderContext,0,0,0,0,0,
org.mockito.internal.verification.api.VerificationData,0,0,0,0,0,
org.mockito.internal.util.collections.Sets,2,0,0,0,0,
org.mockito.internal.util.Primitives,0,0,0,0,0,
org.mockito.exceptions.verification.WantedButNotInvoked,1,1,1,0,0,
org.mockito.invocation.InvocationFactory,0,0,0,0,0,
org.mockito.internal.util.reflection.ReflectionMemberAccessor,1,1,1,0,0,
org.mockito.internal.verification.DefaultRegisteredInvocations,3,1,2,0,0,
org.mockito.internal.verification.checkers.AtLeastXNumberOfInvocationsChecker,8,0,4,0,0,
org.mockito.internal.verification.VerificationEventImpl,0,1,3,2,0,
org.mockito.codegen.InjectionBase,0,0,0,0,0,
org.mockito.internal.stubbing.answers.AbstractThrowsException,5,2,5,1,0,
org.mockito.internal.configuration.plugins.PluginFinder,6,0,3,1,0,
org.mockito.internal.creation.bytebuddy.MockMethodAdvice,33,5,12,7,0,
org.mockito.internal.util.MockUtil,28,0,12,1,0,
org.mockito.internal.util.Timer,1,0,0,0,0,
org.mockito.internal.stubbing.answers.DefaultAnswerValidator,5,0,1,0,0,
org.mockito.internal.verification.api.VerificationInOrderMode,0,0,0,0,0,
org.mockito.internal.creation.bytebuddy.SubclassBytecodeGenerator,13,1,2,2,0,
org.mockito.internal.reporting.PrintSettings,8,0,5,0,0,
org.mockito.internal.stubbing.defaultanswers.RetrieveGenericsForDefaultAnswers,17,0,5,1,0,
org.mockito.internal.junit.JUnitRule,2,1,2,1,0,
org.mockito.internal.util.reflection.FieldInitializationReport,0,0,0,0,0,
org.mockito.internal.matchers.Or,2,1,1,2,0,
org.mockito.internal.invocation.InvocationMatcher,18,2,7,1,0,
org.mockito.internal.reporting.SmartPrinter,6,0,2,0,0,
org.mockito.internal.runners.StrictRunner,8,1,3,1,0,
org.mockito.internal.junit.ExceptionFactory,0,0,1,0,0,
org.mockito.internal.debugging.MockitoDebuggerImpl,7,1,4,1,0,
org.mockito.internal.matchers.Equality,0,0,0,0,0,
org.mockito.internal.matchers.CompareTo,0,1,1,0,0,
org.mockito.internal.junit.NoOpTestListener,0,1,1,0,0,
org.mockito.internal.handler.MockHandlerImpl,32,1,15,3,0,
org.mockito.internal.matchers.Find,0,1,1,0,0,
org.mockito.internal.matchers.LessThan,0,1,0,0,0,
org.mockito.exceptions.misusing.NotAMockException,0,1,1,0,0,
org.mockito.internal.stubbing.OngoingStubbingImpl,5,1,3,1,0,
org.mockito.internal.stubbing.defaultanswers.ReturnsMoreEmptyValues,2,1,3,1,0,
org.mockito.internal.invocation.mockref.MockReference,0,0,0,0,0,
org.mockito.internal.stubbing.StubbingComparator,3,1,2,1,0,
org.mockito.internal.util.JavaEightUtil,0,0,1,0,0,
org.mockito.internal.progress.MockingProgressImpl,12,1,13,5,0,
org.mockito.internal.framework.DefaultMockitoFramework,10,1,9,0,0,
org.mockito.internal.matchers.StartsWith,0,1,1,0,0,
org.mockito.plugins.MockitoPlugins,0,0,0,0,0,
org.mockito.internal.configuration.GlobalConfiguration,7,1,5,0,0,
org.mockito.verification.VerificationMode,0,0,0,0,0,
org.mockito.plugins.MockMaker,0,0,0,0,0,
org.mockito.internal.configuration.DefaultInjectionEngine,6,0,1,0,0,
org.mockito.internal.stubbing.answers.AnswerFunctionalInterfaces,54,0,14,0,0,
org.mockito.internal.creation.bytebuddy.SubclassByteBuddyMockMaker,29,1,6,1,0,
org.mockito.internal.junit.ArgMismatchFinder,12,0,3,0,0,
org.mockito.exceptions.misusing.MockitoConfigurationException,0,1,1,0,0,
org.mockito.internal.matchers.And,2,1,1,2,0,
org.mockito.junit.MockitoJUnitRunner,6,1,8,1,0,
org.mockito.internal.util.collections.ListUtil,0,0,0,0,0,
